codigo,descricao
275,"Desenhista industrial (designer), escultor, pintor artístico e afins"
276,"Cenógrafo, decorador de interiores"
277,Empresário e produtor de espetáculos
279,Outros profissionais do espetáculo e das artes
290,Professor na educação infantil
291,Professor do ensino fundamental
292,Professor do ensino médio
293,Professor do ensino profissional
294,Professor do ensino superior
295,Instrutor e professor de escolas livres
296,"Pedagogo, orientador educacional"
311,Técnico em ciências físicas e químicas
312,"Técnico em construção civil, de edificações e obras de infra-estrutura"
313,Técnico em eletro-eletrônica e fotônica
314,Técnico em metalmecânica
316,Técnico em mineralogia e geologia
317,Técnico em informática
318,Desenhista técnico e modelista
319,"Outros técnicos de nível médio das ciências físicas, químicas, engenharia e afins"
320,Técnico em biologia
321,Técnico da produção agropecuária
322,Técnico da ciência da saúde humana
323,Técnico da ciência da saúde animal
324,"Técnico de laboratório, Raios-X e outros equipamentos e instrumentos de diagnóstico"
325,Técnico de bioquímica e da biotecnologia
328,"Técnico de conservação, dissecação e empalhamento de corpos"
341,"Técnico em navegação aérea, marítima, fluvial e metroferroviária"
342,Técnico em transportes (logística)
351,Técnico das ciências administrativas e contábeis
352,"Técnico de inspeção, fiscalização e coordenação administrativa"
353,"Agente de Bolsa de Valores, câmbio e outros serviços financeiros"
354,"Agente e representante comercial, corretor, leiloeiro e afins"
355,Corretor e administrador de imóveis
371,Técnico de serviços culturais
372,"Cinegrafista, fotógrafo e outros técnicos em operação de máquinas de tratamento de dados"
373,Técnico em operação de estações de rádio e televisão
374,"Técnico em operação de aparelhos de sonorização, cenografia e projeção"
375,Decorador e vitrinista
376,"Apresentador, artistas de artes populares e modelos"
377,"Atleta, desportista e afins"
391,Outros técnicos de nível médio
410,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo"
420,"Trabalhador de atendimento ao público, caixa, despachante, recenseador e afins"
511,"Comissário de bordo, guia de turismo, agente de viagem e afins"
512,Trabalhador dos serviços domésticos em geral
513,Trabalhador dos serviços de hotelaria e alimentação
514,"Trabalhador dos serviços de administração, conservação e manutenção de edifícios"
515,Trabalhador dos serviços de saúde
516,Trabalhador dos serviços de embelezamento e cuidados pessoais
517,Trabalhador dos serviços de proteção e segurança (exceto militar)
518,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)"
519,Outros trabalhadores de serviços diversos
529,"Vendedor e prestador de serviços do comércio, ambulante, caixeiro-viajante e camelô"
610,Produtor na exploração agropecuária
620,Trabalhador na  exploração agropecuária
630,"Pescador, caçador e extrativista florestal"
640,Operador de máquina agropecuária e florestal
710,Trabalhador da indústria extrativa e da construção civil
720,Trabalhador da transformação de metais e compósitos
730,Trabalhador da fabricação e instalação eletro-eletrônica
740,Montador de aparelhos e instrumentos de precisão e musicais
750,"Joalheiro, vidreiro, ceramista e afins"
760,"Trabalhador das indústrias têxteis, do curtimento, do vestuário e das artes gráficas"
770,Trabalhador das indústrias de madeira e do mobiliário
780,"Condutor e operador de robôs, veículos de equipamentos de movimentação de carga e afins"
810,"Trabalhador das indústrias química, petroquímica, borracha e plástico e afins"
820,Trabalhador de instalações siderúrgicas e de materiais de construção
830,Trabalhador de instalações e máquinas de fabricação de celulose e papel
840,"Trabalhador da fabricação de alimentos, bebidas, fumo e de agroindústrias"
860,Operador de instalações de produção e distribuição de energia
870,Trabalhador de outras instalações agroindustriais
900,Trabalhador de reparação e manutenção
10,Militar da Aeronáutica
20,Militar do Exército
30,Militar da Marinha
40,Policial Militar
50,Bombeiro Militar
0,Outras ocupações não especificadas anteriormente
